item_id,knowledge_code
4245,"[1, 3, 42, 48, 101, 145, 146, 173]"
592,"[1, 42, 46, 57, 138]"
4148,"[1, 3, 4, 104]"
2676,"[1, 3, 7, 183]"
1977,"[1, 3, 7, 183]"
4592,"[1, 20, 22, 112]"
2607,"[1, 20, 22, 112]"
8704,"[1, 20, 23, 113]"
1005,"[1, 20, 23, 113]"
3049,"[1, 20, 23, 113]"
7406,"[1, 20, 23, 113]"
5309,"[1, 20, 23, 113]"
6614,"[1, 20, 23, 113]"
609,"[1, 20, 23, 113]"
3649,"[1, 20, 33, 211]"
1911,"[1, 20, 35, 114]"
6396,"[1, 42, 48, 145]"
7433,"[1, 42, 64, 236]"
4623,"[1, 42, 66, 67, 70, 236, 241]"
8867,"[1, 20, 33, 35, 41, 114]"
6281,"[1, 72, 73, 257, 258]"
2256,"[1, 72, 75, 76, 261]"
7840,"[1, 72, 261, 262]"
7202,"[1, 42, 45, 279]"
2669,"[1, 72, 80, 261]"
5402,"[1, 20, 23, 113]"
1903,"[1, 20, 23, 113]"
8413,"[1, 20, 23, 113]"
8407,"[1, 20, 23, 113]"
1121,"[1, 20, 23, 113]"
3494,"[1, 20, 23, 113]"
7301,"[1, 20, 23, 113]"
4041,"[1, 72, 81, 264]"
1376,"[1, 72, 264, 266]"
7787,"[1, 72, 264, 266]"
3890,"[1, 3, 7, 104, 161, 183]"
2260,"[1, 3, 7, 104, 161, 183]"
8773,"[1, 3, 7, 104, 161, 183]"
4396,"[1, 3, 7, 104, 161, 183]"
6153,"[1, 3, 7, 104, 161, 183]"
661,"[1, 3, 10, 185]"
2772,"[1, 3, 10, 185]"
8846,"[1, 3, 10, 185]"
445,"[1, 3, 10, 185]"
3615,"[1, 3, 10, 185]"
5058,"[1, 3, 11, 20, 33, 206, 212]"
7278,"[1, 3, 11, 20, 33, 206, 211, 212]"
2556,"[1, 3, 11, 20, 33, 206, 211]"
330,"[1, 3, 11, 20, 33, 206, 211]"
8692,"[1, 3, 15, 192]"
1063,"[1, 3, 15, 192]"
6756,"[1, 3, 15, 192]"
7349,"[1, 42, 48, 145]"
1231,"[1, 42, 48, 145]"
760,"[1, 42, 48, 145]"
3845,"[1, 42, 48, 146]"
4284,"[1, 42, 48, 146, 147]"
8657,"[1, 3, 8, 178]"
6130,"[1, 3, 8, 179]"
4397,"[1, 20, 21, 33, 38, 41, 112, 116]"
7292,"[1, 3, 10, 186]"
210,"[1, 20, 34, 114]"
1082,"[1, 3, 8, 178]"
1767,"[1, 3, 8, 179]"
1954,"[1, 3, 8, 179]"
446,"[1, 42, 45, 142]"
1899,"[1, 20, 22, 33, 41, 42, 46, 112, 138, 115]"
3196,"[1, 42, 45, 141]"
2197,"[1, 42, 45, 140]"
3914,"[1, 20, 25, 217]"
8346,"[1, 20, 25, 217]"
6706,"[1, 20, 25, 218]"
8471,"[1, 72, 75, 261]"
7458,"[1, 72, 76, 261]"
5930,"[1, 72, 76, 261]"
1697,"[1, 42, 138, 139]"
2702,"[1, 20, 33, 210]"
3504,"[1, 20, 33, 210]"
5522,"[1, 42, 68, 237]"
6102,"[1, 20, 35, 114]"
8437,"[1, 20, 35, 114]"
2660,"[1, 20, 35, 114]"
6729,"[1, 42, 45, 141, 279]"
1422,"[1, 20, 33, 211]"
6514,"[1, 20, 33, 211]"
1021,"[1, 3, 19, 207, 208]"
855,"[1, 72, 78, 261]"
2192,"[1, 72, 78, 261]"
2484,"[1, 72, 78, 261]"
7795,"[1, 72, 78, 261]"
2553,"[1, 72, 78, 261]"
6662,"[1, 42, 66, 236]"
